Trip Start Timestamp,Trip Miles,Fare,Trips Pooled
05/06/2019,6.8,13.305603163176186,273649
05/07/2019,6.2,11.806485363106187,280524
05/08/2019,6.4,12.2007489105249,271461
05/09/2019,6.4,12.67007316336571,307941
05/10/2019,6.1,13.08442036996094,366363
05/11/2019,5.5,12.164692168007223,389888
05/12/2019,6.5,13.095886535459373,293378
05/13/2019,7.1,13.345350470023794,256370
05/14/2019,6.5,12.008954802696685,258688
05/15/2019,6.6,12.379900441267642,274210
05/16/2019,6.5,12.893676043867982,309474
05/17/2019,6.1,12.696256378938429,381529
05/18/2019,5.7,12.919290110239689,408655
05/19/2019,6.6,13.232840123660902,311497
05/20/2019,7.0,14.453974591265437,282029
05/21/2019,6.4,13.275938117860281,291328
05/22/2019,6.5,13.539835863170891,289149
05/23/2019,6.7,14.025049654301355,305613
05/24/2019,6.3,12.520349572268327,351973
