Trip Start Timestamp,Trip ID,Trip Seconds,Trip Miles,Fare,Trip Total,Trips Pooled
03/11/2019,273833,1109.88028469906841,6.5,11.410558625147444,15.001291444055318,1.418360825758765
03/12/2019,284126,1101.643309658390996,6.1,10.868734293940012,14.219574343777057,1.408065435757375
03/13/2019,298564,1113.010282552484559,6.1,10.949360941037767,14.330954703179218,1.384108599831192
03/14/2019,333802,1148.684971929467169,6.1,11.337125002246841,14.802383958154834,1.371834201113235
03/15/2019,415924,1128.293810888527712,5.7,11.110395168348064,14.51504563333686,1.369336705744319
03/16/2019,513991,1050.129959473998572,5.2,11.322216731421367,14.551194904190929,1.317435519298976
03/17/2019,329517,1011.564359350200445,6.4,11.315584628410674,14.740362925129811,1.336874880506924
03/18/2019,270505,1153.790898504648713,6.8,12.052281843219164,15.819849170994991,1.437001164488642
03/19/2019,267143,1125.094163051249705,6.4,11.132586292734603,14.583618286835141,1.402671977180761
03/20/2019,292330,1148.545486265521842,6.2,11.190535242682576,14.641569123824902,1.393493654431636
03/21/2019,313546,1133.079949991388823,6.3,11.400328819375785,14.94654525970671,1.374015296001225
03/22/2019,370313,1111.259604712770008,5.9,10.999316794171417,14.437012284202823,1.370816039404504
03/23/2019,379737,1014.108285471260372,5.5,10.481050042529435,13.773772374037821,1.281792398423119
03/24/2019,286944,998.948540481766477,6.4,10.894323959810834,14.333614236973894,1.314960410393666
03/25/2019,256004,1085.748019562194341,6.5,11.193174716020062,14.772879798753144,1.351435915063827
03/26/2019,261082,1056.84578025294735,6.1,10.601831991481604,13.972507679579596,1.347955814648271
03/27/2019,270512,1079.770734754835275,6.2,10.95190786360679,14.384890928955592,1.322492163009404
03/28/2019,292513,1089.21712197406611,6.2,11.333073514932721,14.818784156276672,1.310748582114299
03/29/2019,368901,1069.149555029669207,5.7,11.535594915709093,14.888920293335732,1.313200560584005
03/30/2019,389505,962.103610993440392,5.3,10.611417054980039,13.857609387283902,1.255940231832711
03/31/2019,300632,980.317181803666942,6.3,11.524546621783443,15.016694734778764,1.292470528752761
04/01/2019,265881,1121.208969426171859,6.7,12.610716824444018,16.303259503311632,1.363583708501172
04/02/2019,268697,1086.048154612816667,6.2,11.27227881219366,14.691361533623375,1.361515015054132
04/03/2019,281141,1133.0219818525224,6.2,11.787623603898414,15.27756320694316,1.341323392888266
04/04/2019,324808,1185.410574862688111,6.0,12.64160673382429,16.192006693184897,1.360474495702076
04/05/2019,363407,1114.581020728824706,5.9,11.890573103985339,15.327919302600115,1.335516376954764
04/06/2019,385164,1004.050311036337768,5.5,11.285270689887944,14.487171153067265,1.281391822704095
04/07/2019,283844,1013.070101886951988,6.6,11.963560970110342,15.503607897295698,1.294587872211496
04/08/2019,269763,1198.110815790156545,6.9,13.410929223058759,17.324049295122014,1.348402115931392
04/09/2019,270222,1164.834376919717862,6.4,12.450882977699817,16.165343310315222,1.3565105727883
04/10/2019,313081,1140.985147613556875,6.2,12.267176864773014,15.939077618890958,1.347686381479553
04/11/2019,320597,1143.431657189555735,6.2,12.474453909425229,16.25532107287342,1.31297859930068
04/12/2019,374448,1122.040272614622057,6.0,12.226183608939025,15.831496335939837,1.314113041063112
04/13/2019,390771,983.969770018757789,5.5,10.902555460870945,14.208820792740505,1.248915605303362
04/14/2019,313764,921.182815746867072,5.9,11.560384556545684,15.004824294692826,1.308142425517268
04/15/2019,259585,1169.681726602076391,7.0,13.385731070747539,17.356488009707803,1.341984321127954
04/16/2019,260457,1103.605524136421751,6.5,11.69529903208591,15.250642639667968,1.32307828163574
04/17/2019,261642,1090.416053233043624,6.4,11.396259010403528,14.863244165692052,1.297280253170363
04/18/2019,319134,1140.40442886060401,6.1,11.827281016751584,15.372009845394098,1.327564596689792
04/19/2019,350568,1039.823477898724356,5.8,11.013833264873006,14.436293614933479,1.307135848109354
04/20/2019,343203,967.850659813579718,5.6,10.523414713740847,13.726873308217003,1.264977287494573
04/21/2019,255479,1049.205821222096532,6.7,12.140136762708481,15.601456362362464,1.294748296337468
