"STATION","NAME","DATE","TMAX"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-05","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-06","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-07","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-08","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-09","73"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-10","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-11","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-12","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-13","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-14","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-15","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-16","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-17","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-18","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-19","75"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-20","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-21","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-22","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-23","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-24","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-25","87"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-26","90"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-27","90"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-28","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-29","87"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-30","90"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-01","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-02","92"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-03","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-04","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-05","92"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-06","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-07","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-08","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-09","89"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-10","96"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-11","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-12","87"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-13","94"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-14","90"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-15","92"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-16","84"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-17","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-18","88"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-19","95"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-20","97"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-21","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-22","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-23","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-24","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-25","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-26","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-27","89"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-28","90"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-29","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-30","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-07-31","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-01","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-02","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-03","89"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-04","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-05","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-06","85"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-07","88"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-08","88"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-09","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-10","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-11","84"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-12","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-13","85"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-14","84"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-15","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-16","85"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-17","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-18","84"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-19","85"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-20","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-21","84"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-22","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-23","75"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-24","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-25","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-26","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-27","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-28","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-29","86"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-30","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-08-31","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-01","73"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-02","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-03","81"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-04","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-05","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-06","75"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-07","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-08","67"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-09","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-10","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-11","91"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-12","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-13","79"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-09-14","81"
